年月,地區,產業別,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,臺灣,食,9108455,16062374055
201402,臺灣,食,8469111,13425470479
201403,臺灣,食,9060749,12784568098
201404,臺灣,食,8555295,11979164216
201405,臺灣,食,9129693,13601347601
201406,臺灣,食,9588201,13617232884
201407,臺灣,食,10482244,14535070217
201408,臺灣,食,10360089,15426249928
201409,臺灣,食,10183452,14450059714
201410,臺灣,食,9529242,13263199113
201411,臺灣,食,8845517,12407625134
201412,臺灣,食,10577368,15525989579
201501,臺灣,食,9785693,15100806229
201502,臺灣,食,9720301,16940614638
201503,臺灣,食,9615548,14083216753
201504,臺灣,食,9246484,12975827548
201505,臺灣,食,9740888,14205175060
201506,臺灣,食,10594183,14640936361
201507,臺灣,食,10585122,14343298914
201508,臺灣,食,11930490,17129280848
201509,臺灣,食,10369999,14816241220
201510,臺灣,食,10075119,13866719787
201511,臺灣,食,10301917,14572249077
201512,臺灣,食,10472477,15209958067
201601,臺灣,食,10581269,17088499402
201602,臺灣,食,9922216,16263346444
201603,臺灣,食,10757264,15083430259
201604,臺灣,食,9866362,13468113887
201605,臺灣,食,11328252,16084261135
201606,臺灣,食,10744966,14524303712
201607,臺灣,食,11263873,14909411935
201608,臺灣,食,12842128,18461259817
201609,臺灣,食,10822064,14861328153
201610,臺灣,食,11298756,15126812815
201611,臺灣,食,10472052,14161643102
201612,臺灣,食,10947960,15573237372
201701,臺灣,食,11557588,19211712341
201702,臺灣,食,9319690,13809992120
201703,臺灣,食,11846012,16808174922
201704,臺灣,食,10483032,14700245812
201705,臺灣,食,12580246,18229638404
201706,臺灣,食,11474545,15600265687
201707,臺灣,食,12917053,17227939381
201708,臺灣,食,13287308,18491718942
201709,臺灣,食,12130270,17254726252
201710,臺灣,食,12825396,17705135904
201711,臺灣,食,12061318,16382187254
201712,臺灣,食,12677787,17452677924
201801,臺灣,食,13935719,19793775330
201802,臺灣,食,12811468,19859282689
201803,臺灣,食,13265863,16688689506
201804,臺灣,食,13295623,16706251275
201805,臺灣,食,14113372,18103472761
201806,臺灣,食,13476675,16318933803
201807,臺灣,食,15644348,18443863707
201808,臺灣,食,15894807,20149485800
201809,臺灣,食,13968724,17169435619
201810,臺灣,食,15149480,17849805047
201811,臺灣,食,13869588,16383548063
201812,臺灣,食,14253226,17405834704
201901,臺灣,食,16794942,23315763783
201902,臺灣,食,13340567,17626421281
201903,臺灣,食,14466705,16735005130
201904,臺灣,食,15597750,17939959133
201905,臺灣,食,15834396,18658253396
201906,臺灣,食,15542903,16750624963
201907,臺灣,食,19330235,20438495777
201908,臺灣,食,18851697,21204781806
201909,臺灣,食,18325679,19419404800
201910,臺灣,食,18086998,18306742509
201911,臺灣,食,17364061,17867631818
201912,臺灣,食,20029692,21914322517
202001,臺灣,食,20159286,25223198559
202002,臺灣,食,16387535,16042890042
202003,臺灣,食,20122266,18569111658
202004,臺灣,食,17366558,15292478473
202005,臺灣,食,18804020,17945728945
202006,臺灣,食,20836547,20508498317
202007,臺灣,食,20274835,19803200878
202008,臺灣,食,21027319,22438434060
202009,臺灣,食,19364715,20042768251
202010,臺灣,食,18935569,19232801222
202011,臺灣,食,20435280,20190190801
202012,臺灣,食,19376788,20698259851
202101,臺灣,食,20252663,21792033306
202102,臺灣,食,21001678,19147624099
202103,臺灣,食,25155805,19584346678
202104,臺灣,食,22689715,17960120488
202105,臺灣,食,28836077,17344788577
202106,臺灣,食,35879225,15594890321
202107,臺灣,食,37820588,16099868067
202108,臺灣,食,40064041,20108617542
202109,臺灣,食,36493066,20098418444
202110,臺灣,食,39208489,21867786475
202111,臺灣,食,38921486,22953355277
202112,臺灣,食,40252504,25720399087
202201,臺灣,食,41725952,27229317577
202202,臺灣,食,36186201,22076706170
202203,臺灣,食,42850667,24827450382
202204,臺灣,食,42305282,22584055547
202205,臺灣,食,46939386,23205114548
202206,臺灣,食,45373194,22952932161
202207,臺灣,食,46690708,26257495713
202208,臺灣,食,49004954,29900014399
202209,臺灣,食,45339026,26227052860
202210,臺灣,食,48488323,27988953720
202211,臺灣,食,45726518,26994141293
202212,臺灣,食,48083126,31108015298
202301,臺灣,食,48733488,34556891045
202302,臺灣,食,42192851,25682438862
202303,臺灣,食,51532221,29806787997
202304,臺灣,食,48596159,28539689592
202305,臺灣,食,53562754,31807664293
202306,臺灣,食,51709705,29248119183
202307,臺灣,食,55138665,31756507286
202308,臺灣,食,54531432,32765782494
