年月,地區,產業別,信用卡處理中心處理筆數,信用卡處理中心處理金額[新台幣]
201401,臺灣,文教康樂,3491297,19252600372
201402,臺灣,文教康樂,3853453,21452972611
201403,臺灣,文教康樂,3902492,19931260135
201404,臺灣,文教康樂,3719507,20541146714
201405,臺灣,文教康樂,3746057,22304068170
201406,臺灣,文教康樂,3805061,22633429090
201407,臺灣,文教康樂,4025319,22810372557
201408,臺灣,文教康樂,4042564,22969506500
201409,臺灣,文教康樂,4096771,25006321304
201410,臺灣,文教康樂,3963775,21893213221
201411,臺灣,文教康樂,3637031,19070544101
201412,臺灣,文教康樂,4224961,21340935602
201501,臺灣,文教康樂,3954805,21320967130
201502,臺灣,文教康樂,4022710,23329554849
201503,臺灣,文教康樂,4323911,23677476129
201504,臺灣,文教康樂,4106935,22774200163
201505,臺灣,文教康樂,3949340,23623933194
201506,臺灣,文教康樂,4435337,24752792139
201507,臺灣,文教康樂,4468812,24149339302
201508,臺灣,文教康樂,4617261,25082675082
201509,臺灣,文教康樂,4389712,24545410050
201510,臺灣,文教康樂,4461659,23347873643
201511,臺灣,文教康樂,4367569,21956166140
201512,臺灣,文教康樂,4490034,21253220154
201601,臺灣,文教康樂,4331062,23759391585
201602,臺灣,文教康樂,4367228,22917289032
201603,臺灣,文教康樂,4722660,24305437613
201604,臺灣,文教康樂,4225473,21651464508
201605,臺灣,文教康樂,4656495,25030999285
201606,臺灣,文教康樂,4480388,23746807274
201607,臺灣,文教康樂,4591115,22453927866
201608,臺灣,文教康樂,5187683,27432373016
201609,臺灣,文教康樂,4491243,23635396974
201610,臺灣,文教康樂,4789540,22619892475
201611,臺灣,文教康樂,4551983,22022706452
201612,臺灣,文教康樂,4718603,21028860745
201701,臺灣,文教康樂,4619138,23080085073
201702,臺灣,文教康樂,4779669,25904811519
201703,臺灣,文教康樂,5414323,26407080587
201704,臺灣,文教康樂,4580172,21909939500
201705,臺灣,文教康樂,5142930,26065154233
201706,臺灣,文教康樂,4781417,25517378754
201707,臺灣,文教康樂,5170298,24495476922
201708,臺灣,文教康樂,5288290,27730242096
201709,臺灣,文教康樂,5095945,28473586134
201710,臺灣,文教康樂,5194624,23910025402
201711,臺灣,文教康樂,4859835,23018170732
201712,臺灣,文教康樂,4985974,21455526223
201801,臺灣,文教康樂,5486491,26299047809
201802,臺灣,文教康樂,4932608,25785746609
201803,臺灣,文教康樂,5453697,28801120726
201804,臺灣,文教康樂,5133729,24025539103
201805,臺灣,文教康樂,5369115,27968982438
201806,臺灣,文教康樂,5069994,25389241822
201807,臺灣,文教康樂,5773075,26413838098
201808,臺灣,文教康樂,5902700,30501015695
201809,臺灣,文教康樂,5149125,26119028520
201810,臺灣,文教康樂,6114110,28467779322
201811,臺灣,文教康樂,5495524,24378070355
201812,臺灣,文教康樂,5684567,23462810820
201901,臺灣,文教康樂,6528486,31763365881
201902,臺灣,文教康樂,5515928,27202355801
201903,臺灣,文教康樂,5924619,26959871075
201904,臺灣,文教康樂,6354562,27123238650
201905,臺灣,文教康樂,6283195,29252471235
201906,臺灣,文教康樂,5847718,25823101696
201907,臺灣,文教康樂,7209741,29178755763
201908,臺灣,文教康樂,6588607,30813452760
201909,臺灣,文教康樂,6883667,29958532276
201910,臺灣,文教康樂,7211394,28438309553
201911,臺灣,文教康樂,6659266,25270147775
201912,臺灣,文教康樂,7607071,26287369690
202001,臺灣,文教康樂,7096924,26814875609
202002,臺灣,文教康樂,5746133,20064791462
202003,臺灣,文教康樂,6235105,13896854834
202004,臺灣,文教康樂,5377457,10809380692
202005,臺灣,文教康樂,5696709,12050481927
202006,臺灣,文教康樂,6817159,14544168871
202007,臺灣,文教康樂,7022344,15637684590
202008,臺灣,文教康樂,7196622,19393063231
202009,臺灣,文教康樂,7043073,19826250593
202010,臺灣,文教康樂,6663508,15311167113
202011,臺灣,文教康樂,7253096,16275742699
202012,臺灣,文教康樂,7373812,16983724376
202101,臺灣,文教康樂,6582109,16614204929
202102,臺灣,文教康樂,7404532,25226677648
202103,臺灣,文教康樂,8618340,21506615557
202104,臺灣,文教康樂,8018359,18604284609
202105,臺灣,文教康樂,6873182,15829138963
202106,臺灣,文教康樂,5435101,12803216139
202107,臺灣,文教康樂,6180664,15297705090
202108,臺灣,文教康樂,7859889,21738561300
202109,臺灣,文教康樂,7850939,25402810896
202110,臺灣,文教康樂,8188162,22257130629
202111,臺灣,文教康樂,8658859,21741422889
202112,臺灣,文教康樂,9193605,21966810644
202201,臺灣,文教康樂,8509122,21650408739
202202,臺灣,文教康樂,7957565,25733379388
202203,臺灣,文教康樂,9278864,22037104145
202204,臺灣,文教康樂,8050901,18114507204
202205,臺灣,文教康樂,8008322,17580469081
202206,臺灣,文教康樂,8815699,19589793918
202207,臺灣,文教康樂,9503407,21045047972
202208,臺灣,文教康樂,10253351,29722899068
202209,臺灣,文教康樂,9520747,30041075076
202210,臺灣,文教康樂,9670444,30140765243
202211,臺灣,文教康樂,9594027,26040986328
202212,臺灣,文教康樂,9554086,28169777726
202301,臺灣,文教康樂,9949634,29639647593
202302,臺灣,文教康樂,9234889,35527146939
202303,臺灣,文教康樂,10928758,33363245224
202304,臺灣,文教康樂,9693799,28798246096
202305,臺灣,文教康樂,10430551,32759248722
202306,臺灣,文教康樂,9934939,31796223988
202307,臺灣,文教康樂,10941500,32964483632
202308,臺灣,文教康樂,10868442,40608391619
