年月,地區,產業別,職業類別,信用卡交易筆數,信用卡交易金額[新台幣]
201504,10017000,文教康樂,其他公共行政類,1102,5337542
201504,10017000,文教康樂,教育類,639,2216949
201504,10017000,文教康樂,工商及服務類,4589,21688553
201504,10017000,文教康樂,專業及技術服務類,2537,7681998
201504,10017000,文教康樂,其他,2090,10321721
201505,10017000,文教康樂,軍警人員一,142,515839
201505,10017000,文教康樂,軍警人員二,28,71052
201505,10017000,文教康樂,其他公共行政類,1215,5474659
201505,10017000,文教康樂,教育類,686,2520659
201505,10017000,文教康樂,工商及服務類,4640,20005906
201505,10017000,文教康樂,專業及技術服務類,2360,7655644
201505,10017000,文教康樂,其他,2115,9585520
201506,10017000,文教康樂,軍警人員一,204,526351
201506,10017000,文教康樂,軍警人員二,43,66454
201506,10017000,文教康樂,其他公共行政類,1193,6112141
201506,10017000,文教康樂,教育類,763,3009597
201506,10017000,文教康樂,工商及服務類,4904,21399132
201506,10017000,文教康樂,專業及技術服務類,2822,7346972
201506,10017000,文教康樂,其他,2209,8621005
201507,10017000,文教康樂,軍警人員一,155,385999
201507,10017000,文教康樂,軍警人員二,41,137674
201507,10017000,文教康樂,其他公共行政類,1388,7202254
201507,10017000,文教康樂,教育類,773,2911615
201507,10017000,文教康樂,工商及服務類,5149,23587630
201507,10017000,文教康樂,專業及技術服務類,2760,8291273
201507,10017000,文教康樂,其他,2274,9516440
201508,10017000,文教康樂,軍警人員一,183,351036
201508,10017000,文教康樂,軍警人員二,41,58063
201508,10017000,文教康樂,其他公共行政類,1117,5456681
201508,10017000,文教康樂,教育類,712,2634956
201508,10017000,文教康樂,工商及服務類,4510,20193932
201508,10017000,文教康樂,專業及技術服務類,2667,8259312
201508,10017000,文教康樂,其他,2236,11748981
201509,10017000,文教康樂,軍警人員一,142,356599
201509,10017000,文教康樂,軍警人員二,26,91535
201509,10017000,文教康樂,其他公共行政類,975,4588390
201509,10017000,文教康樂,教育類,601,1891717
201509,10017000,文教康樂,工商及服務類,4324,21411304
201509,10017000,文教康樂,專業及技術服務類,2455,9054989
201509,10017000,文教康樂,其他,1967,8847415
201510,10017000,文教康樂,軍警人員一,176,458449
201510,10017000,文教康樂,軍警人員二,35,48257
201510,10017000,文教康樂,其他公共行政類,1169,6438571
201510,10017000,文教康樂,教育類,658,2278219
201510,10017000,文教康樂,工商及服務類,4593,26531202
201510,10017000,文教康樂,專業及技術服務類,2415,9214304
201510,10017000,文教康樂,其他,2121,11462785
201511,10017000,文教康樂,軍警人員一,163,458428
201511,10017000,文教康樂,軍警人員二,35,78775
201511,10017000,文教康樂,其他公共行政類,1211,5912145
201511,10017000,文教康樂,教育類,685,2535547
201511,10017000,文教康樂,工商及服務類,4792,23682579
201511,10017000,文教康樂,專業及技術服務類,2367,9259126
201511,10017000,文教康樂,其他,2201,10391218
201512,10017000,文教康樂,軍警人員一,168,507118
201512,10017000,文教康樂,軍警人員二,48,205808
201512,10017000,文教康樂,其他公共行政類,1224,5469520
201512,10017000,文教康樂,教育類,841,3247747
201512,10017000,文教康樂,工商及服務類,5451,25368647
201512,10017000,文教康樂,專業及技術服務類,2687,10107867
201512,10017000,文教康樂,其他,2597,13545689
201601,10017000,文教康樂,軍警人員一,250,654737
201601,10017000,文教康樂,軍警人員二,60,115703
201601,10017000,文教康樂,其他公共行政類,2421,7684421
201601,10017000,文教康樂,教育類,1003,3708508
201601,10017000,文教康樂,工商及服務類,7762,28987741
201601,10017000,文教康樂,專業及技術服務類,3632,11377090
201601,10017000,文教康樂,其他,3528,11271622
201602,10017000,文教康樂,軍警人員一,267,793673
201602,10017000,文教康樂,軍警人員二,58,144193
201602,10017000,文教康樂,其他公共行政類,1884,6531090
201602,10017000,文教康樂,教育類,975,2335755
201602,10017000,文教康樂,工商及服務類,7679,22405700
201602,10017000,文教康樂,專業及技術服務類,3801,8707672
201602,10017000,文教康樂,其他,3496,10272427
201603,10017000,文教康樂,軍警人員一,225,474308
201603,10017000,文教康樂,軍警人員二,68,155792
201603,10017000,文教康樂,其他公共行政類,1636,5325342
201603,10017000,文教康樂,教育類,944,2065507
201603,10017000,文教康樂,工商及服務類,6615,26116350
201603,10017000,文教康樂,專業及技術服務類,3321,9626245
201603,10017000,文教康樂,其他,3062,10434320
201604,10017000,文教康樂,軍警人員一,208,719500
201604,10017000,文教康樂,軍警人員二,51,195823
201604,10017000,文教康樂,其他公共行政類,1748,6135712
201604,10017000,文教康樂,教育類,937,2342943
201604,10017000,文教康樂,工商及服務類,7170,26004931
201604,10017000,文教康樂,專業及技術服務類,3170,9163998
201604,10017000,文教康樂,其他,3016,12440740
201605,10017000,文教康樂,軍警人員一,175,331252
201605,10017000,文教康樂,軍警人員二,51,102849
201605,10017000,文教康樂,其他公共行政類,1704,6067620
201605,10017000,文教康樂,教育類,915,2805607
201605,10017000,文教康樂,工商及服務類,7040,29337558
201605,10017000,文教康樂,專業及技術服務類,3080,10630515
201605,10017000,文教康樂,其他,2924,13158446
201606,10017000,文教康樂,軍警人員一,257,678955
201606,10017000,文教康樂,軍警人員二,56,92779
201606,10017000,文教康樂,其他公共行政類,1701,6186494
201606,10017000,文教康樂,教育類,991,4169620
201606,10017000,文教康樂,工商及服務類,7499,29346149
201606,10017000,文教康樂,專業及技術服務類,3602,11519582
201606,10017000,文教康樂,其他,3033,13128627
201607,10017000,文教康樂,軍警人員一,222,431625
201607,10017000,文教康樂,軍警人員二,70,78093
201607,10017000,文教康樂,其他公共行政類,2037,7150362
201607,10017000,文教康樂,教育類,1136,3103220
201607,10017000,文教康樂,工商及服務類,8089,25717778
201607,10017000,文教康樂,專業及技術服務類,3906,9579470
201607,10017000,文教康樂,其他,3226,11224445
201608,10017000,文教康樂,軍警人員一,212,405471
201608,10017000,文教康樂,軍警人員二,46,92494
201608,10017000,文教康樂,其他公共行政類,1740,5627318
201608,10017000,文教康樂,教育類,927,2431990
201608,10017000,文教康樂,工商及服務類,6626,19645986
201608,10017000,文教康樂,專業及技術服務類,3127,8887050
201608,10017000,文教康樂,其他,2751,8409334
201609,10017000,文教康樂,軍警人員一,182,416663
201609,10017000,文教康樂,軍警人員二,56,169619
201609,10017000,文教康樂,其他公共行政類,1501,4744126
201609,10017000,文教康樂,教育類,811,1794294
201609,10017000,文教康樂,工商及服務類,6290,18240129
201609,10017000,文教康樂,專業及技術服務類,2819,8866453
201609,10017000,文教康樂,其他,2529,8108792
201610,10017000,文教康樂,軍警人員一,152,273162
201610,10017000,文教康樂,軍警人員二,70,88098
201610,10017000,文教康樂,其他公共行政類,1748,5377011
201610,10017000,文教康樂,教育類,931,2505821
201610,10017000,文教康樂,工商及服務類,6715,23640628
201610,10017000,文教康樂,專業及技術服務類,2895,9515644
201610,10017000,文教康樂,其他,2836,10629683
201611,10017000,文教康樂,軍警人員一,190,495191
201611,10017000,文教康樂,軍警人員二,45,172079
201611,10017000,文教康樂,其他公共行政類,1745,5794883
201611,10017000,文教康樂,教育類,910,1922816
201611,10017000,文教康樂,工商及服務類,6255,21170628
201611,10017000,文教康樂,專業及技術服務類,3061,7931307
201611,10017000,文教康樂,其他,2736,9838948
201612,10017000,文教康樂,軍警人員一,230,522303
201612,10017000,文教康樂,軍警人員二,64,156005
201612,10017000,文教康樂,其他公共行政類,1686,6905796
201612,10017000,文教康樂,教育類,997,2471609
201612,10017000,文教康樂,工商及服務類,6948,21945297
201612,10017000,文教康樂,專業及技術服務類,3305,9063623
201612,10017000,文教康樂,其他,2952,11146356
201701,10017000,文教康樂,軍警人員一,168,481483
201701,10017000,文教康樂,軍警人員二,46,103083
201701,10017000,文教康樂,其他公共行政類,1568,5594846
201701,10017000,文教康樂,教育類,946,2696040
201701,10017000,文教康樂,工商及服務類,6723,21632564
201701,10017000,文教康樂,專業及技術服務類,2866,8042758
201701,10017000,文教康樂,其他,2863,9698846
201702,10017000,文教康樂,軍警人員一,200,425331
201702,10017000,文教康樂,軍警人員二,41,128483
201702,10017000,文教康樂,其他公共行政類,1481,5132646
201702,10017000,文教康樂,教育類,880,2123543
201702,10017000,文教康樂,工商及服務類,6060,16870754
201702,10017000,文教康樂,專業及技術服務類,2691,6950392
201702,10017000,文教康樂,其他,2605,8707803
201703,10017000,文教康樂,軍警人員一,216,503082
201703,10017000,文教康樂,軍警人員二,69,75956
201703,10017000,文教康樂,其他公共行政類,1596,5503895
201703,10017000,文教康樂,教育類,903,2306198
201703,10017000,文教康樂,工商及服務類,6416,20931552
201703,10017000,文教康樂,專業及技術服務類,3109,8310216
201703,10017000,文教康樂,其他,2725,9263918
201704,10017000,文教康樂,軍警人員一,240,414924
201704,10017000,文教康樂,軍警人員二,61,70176
201704,10017000,文教康樂,其他公共行政類,1720,5921073
201704,10017000,文教康樂,教育類,1094,2427827
201704,10017000,文教康樂,工商及服務類,7712,21038677
201704,10017000,文教康樂,專業及技術服務類,3971,8398635
201704,10017000,文教康樂,其他,3039,11125530
201705,10017000,文教康樂,軍警人員一,166,496642
201705,10017000,文教康樂,軍警人員二,44,47027
201705,10017000,文教康樂,其他公共行政類,1494,6183086
201705,10017000,文教康樂,教育類,845,3467755
201705,10017000,文教康樂,工商及服務類,6137,25933735
201705,10017000,文教康樂,專業及技術服務類,2675,10366547
201705,10017000,文教康樂,其他,2673,12065612
201706,10017000,文教康樂,軍警人員一,117,270432
201706,10017000,文教康樂,軍警人員二,38,131160
201706,10017000,文教康樂,其他公共行政類,1408,6015413
201706,10017000,文教康樂,教育類,773,3200097
201706,10017000,文教康樂,工商及服務類,5299,21864450
201706,10017000,文教康樂,專業及技術服務類,2046,9705990
201706,10017000,文教康樂,其他,2332,11300305
201707,10017000,文教康樂,軍警人員一,132,445759
201707,10017000,文教康樂,軍警人員二,43,120608
201707,10017000,文教康樂,其他公共行政類,1637,6857836
201707,10017000,文教康樂,教育類,843,3265882
201707,10017000,文教康樂,工商及服務類,6236,23187623
201707,10017000,文教康樂,專業及技術服務類,2285,9147498
201707,10017000,文教康樂,其他,2743,11052704
201708,10017000,文教康樂,軍警人員一,140,474814
201708,10017000,文教康樂,軍警人員二,40,90642
201708,10017000,文教康樂,其他公共行政類,1680,6522841
201708,10017000,文教康樂,教育類,879,3219516
